Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
45.53040500000003,,,,,0.0625,-0.05859375,-0.91015625,-0.013876247323241855,163.39732015735416,11.012280407673902,7.213917009476833,0,34566,79.299070188263,50.22801536354467,63.33998020947651,3.2531112164138465,2.0605200006687907,0.296875,,
45.53817000000016,,,,,-0.3125,0.1328125,-1.14453125,-0.01339908716265478,163.39732015735416,11.011944087820781,7.217891459551267,0,34564,79.33891501207484,48.49788902820973,61.12749212770138,3.3691635539499662,2.0594851862101495,0.296875,,
45.546110000000105,,,,,-0.09375,0.27734375,-1.03125,-0.01339908716265478,163.39732015735416,11.011556891486713,7.220851103047728,0,34547,79.36435364396941,48.47425766539446,61.078123162007046,3.3708060324563305,2.0588250600560407,0.296875,,
45.55437000000011,,,,,0.0625,0.095703125,-0.794921875,-0.01339908716265478,163.39732015735416,11.01167787229728,7.219521154992132,0,34564,79.35455844884322,48.498809510372816,61.116601816438944,3.3690996089792087,2.0590791928190244,0.298828125,,
45.562360000000105,,,,,0.0625,-0.39453125,-1.08984375,-0.01339908716265478,163.39732015735416,11.011366556293614,7.22114462081954,0,34571,79.37089717335768,48.508361737548704,61.11605571447596,3.3684361686219093,2.0586553255215256,0.298828125,,
45.570304999999934,,,,,0,-0.1484375,-1.05859375,-0.01339908716265478,163.39732015735416,11.011069076744356,7.222160903756609,0,34574,79.37794852405315,48.51214212448344,61.115389130752426,3.3681736777995153,2.0584724497867493,0.298828125,,
45.578225000000096,,,,,0.1875,0.0625,-0.87890625,-0.01339908716265478,163.39732015735416,11.010920503414344,7.222268943841297,0,34555,79.38032754225858,48.48562657427029,61.080154334786144,3.370015645916468,2.0584107576322186,0.296875,,
45.58632499999995,,,,,-0.1875,0.341796875,-0.73828125,-0.01339908716265478,163.39732015735416,11.010576590992848,7.225069171695505,0,34559,79.40851974391957,48.49191391454131,61.06638692034605,3.369578698116844,2.057679965377591,0.30078125,,
45.5941100000001,,,,,-0.15625,-0.072265625,-1.181640625,-0.01339908716265478,163.39732015735416,11.010260177993732,7.226602943013384,0,34561,79.43029718452148,48.494325512717246,61.052680440137266,3.369411130679703,2.0571158103282947,0.302734375,,
45.609215000000084,,,,,0.125,-0.125,-1.0703125,-0.01339908716265478,163.39732015735416,11.009696684184807,7.229530646621967,0,34531,79.46126564873958,48.45245951800775,60.97619906054983,3.372322515364287,2.0563140899322687,0.30078125,,
45.619320000000066,,,,,0.041015625,0.03125,-0.92578125,-0.01339908716265478,165.2386636624399,11.009387031151872,7.232888008328434,0,34534,79.49391008603176,48.45671485141867,60.95651201328089,3.410026126804224,2.0786329856414345,0.298828125,,
45.62879500000016,,,,,-0.125,-0.013671875,-1.025390625,-0.01339908716265478,165.2386636624399,11.008637387197766,7.2386104848230035,0,34565,79.54847513655754,48.50021231642658,60.969380284371624,3.406967841385616,2.0772071793806433,0.298828125,,
45.63848999999999,,,,,-0.09375,0.140625,-1.1875,-0.01339908716265478,165.2386636624399,11.007995131469768,7.245548230790909,0,34581,79.61979809068788,48.52234282184854,60.94255949579402,3.405413960927637,2.0753464292164012,0.298828125,,
45.64778500000015,,,,,0.03125,0.1171875,-0.8359375,-0.01339908716265478,165.2386636624399,11.007548555899787,7.250665528135972,0,34618,79.6729127649829,48.57352568032024,60.96617281158173,3.401825610723313,2.073962880582221,0.296875,,
45.65735499999998,,,,,0.0625,-0.234375,-0.9375,-0.01339908716265478,165.2386636624399,11.007308081999906,7.253885874583435,0,34635,79.70920340701345,48.59775950612296,60.968818441167535,3.400129251670976,2.073018630216306,0.296875,,
45.66555500000017,,,,,0.09375,-0.138671875,-1.158203125,-0.01339908716265478,165.2386636624399,11.006811459065121,7.256847444868138,0,34658,79.73835926759365,48.629694562069034,60.9865753556238,3.397896391299266,2.072260643185748,0.296875,,
45.67329500000016,,,,,-0.4375,0.36328125,-1.01953125,-0.01339908716265478,165.2386636624399,11.0063568270811,7.260599562683278,0,34660,79.77758294057203,48.63348863117012,60.961346331334965,3.3976313094786983,2.0712417896331807,0.298828125,,
45.681305000000165,,,,,-0.09375,0.26171875,-0.876953125,-0.01339908716265478,165.2386636624399,11.006045116795262,7.268508996695298,0,34673,79.86256633261613,48.65204250372891,60.919708366370465,3.3963355937168576,2.0690377388355468,0.298828125,,
45.689255000000124,,,,,-0.0625,0.14453125,-0.83203125,-0.01349484722509006,165.2386636624399,11.005815486168986,7.2719650285583795,0,34667,79.89634603455103,48.99009989836249,61.31707184353188,3.3728990960470173,2.068162961932987,0.298828125,,
45.69731000000006,,,,,0,-0.201171875,-1.076171875,-0.01349484722509006,165.2386636624399,11.005528542014815,7.27614949596952,0,34676,79.93101440188475,49.003462342634094,61.307194346677285,3.371979361521127,2.067265940497605,0.298828125,,
45.70868500000005,,,,,0.125,-0.166015625,-1.041015625,-0.01349484722509006,165.2386636624399,11.005330269282593,7.282338067431653,0,34680,79.99234166503842,49.00949353181933,61.26773202495145,3.3715644001739986,2.0656810417472675,0.298828125,,
